RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
1	 Martinez, J	BOS	LF	34	134	22	47	9	1	8	27	11	40	0	0	.351	.399	.612	1.011
2	 Betts, M	BOS	RF	32	118	36	41	12	1	13	27	15	15	3	1	.347	.428	.797	1.224
3	 Machado, M	BAL	SS	36	137	18	47	9	0	9	27	21	20	2	1	.343	.428	.606	1.034
4	 Kemp, M	LAD	LF	34	105	13	36	7	0	5	17	7	25	0	0	.343	.381	.552	.933
5	 Herrera, O	PHI	CF	35	129	21	44	7	1	5	21	14	22	2	2	.341	.411	.527	.938
6	 Gordon, D	SEA	CF	35	144	22	49	8	1	1	8	2	22	15	2	.340	.362	.431	.793
7	 Simmons, A	LAA	SS	34	127	22	43	9	1	3	22	12	9	3	1	.339	.400	.496	.896
8	 Markakis, N	ATL	RF	35	139	23	47	9	0	7	28	20	13	0	1	.338	.419	.554	.973
9	 Lowrie, J	OAK	2B	36	145	16	49	9	1	8	32	15	30	0	0	.338	.400	.579	.979
10	 Altuve, J	HOU	2B	39	157	23	52	9	1	2	17	14	20	2	1	.331	.387	.439	.827
11	 Trout, M	LAA	CF	36	133	32	44	8	2	12	25	29	29	7	0	.331	.451	.692	1.143
12	 Smith, M	TB	CF	30	95	11	31	5	2	0	5	10	21	8	4	.326	.407	.421	.828
13	 Dickerson, C	PIT	LF	34	133	20	43	11	1	5	26	8	14	3	1	.323	.361	.534	.895
14	 Pham, T	STL	CF	30	99	24	32	6	0	5	14	21	24	7	4	.323	.442	.535	.977
15	 Arenado, N	COL	3B	32	115	19	37	7	1	8	21	19	28	1	1	.322	.415	.609	1.024
16	 Castellanos, N	DET	RF	35	140	20	45	10	3	3	23	11	32	0	0	.321	.379	.500	.879
16	 Soler, J	KC	RF	32	112	16	36	10	0	5	15	21	32	1	1	.321	.431	.545	.975
18	 Cabrera, A	NYM	2B	34	135	23	43	10	1	6	22	10	28	0	0	.319	.365	.541	.906
19	 Pillar, K	TOR	CF	37	140	23	44	15	2	4	17	9	25	6	0	.314	.359	.536	.895
20	 Ramos, W	TB	C	27	99	10	31	5	0	4	18	8	17	0	0	.313	.364	.485	.849
21	 Escobar, E	MIN	SS	29	115	23	36	15	0	7	20	11	25	1	2	.313	.367	.626	.993
22	 Judge, A	NYY	RF	36	133	29	41	9	0	9	27	28	48	2	1	.308	.429	.579	1.008
22	 Pollock, A	ARI	CF	35	133	23	41	9	3	11	32	12	33	8	2	.308	.365	.669	1.034
24	 Posey, B	SF	C	31	112	14	34	7	0	2	14	12	15	2	1	.304	.368	.420	.788
25	 Cervelli, F	PIT	C	29	96	14	29	5	2	5	22	13	20	0	0	.302	.400	.552	.952
26	 Sanchez, Y	CWS	3B	33	126	14	38	8	4	1	18	5	26	3	1	.302	.338	.452	.791
27	 Freeman, F	ATL	1B	35	133	24	40	12	1	5	26	23	28	2	0	.301	.406	.519	.925
28	 Duffy, M	TB	3B	25	101	6	30	5	0	1	9	6	28	2	0	.297	.333	.376	.710
29	 Castro, S	MIA	2B	36	135	20	40	7	0	1	16	12	28	1	0	.296	.344	.370	.715
29	 Correa, C	HOU	SS	37	135	24	40	12	0	5	25	17	37	2	0	.296	.367	.496	.863
29	 Springer, G	HOU	CF	39	162	33	48	10	0	8	26	14	33	0	2	.296	.356	.506	.862
32	 Belt, B	SF	1B	33	115	19	34	6	1	6	17	22	34	2	0	.296	.414	.522	.936
33	 Haniger, M	SEA	RF	35	122	19	36	8	1	10	29	18	33	2	1	.295	.386	.623	1.009
34	 Mazara, N	TEX	RF	38	143	22	42	6	0	10	26	12	34	0	0	.294	.357	.545	.902
35	 Martin, L	DET	CF	32	126	23	37	8	2	5	15	11	27	1	3	.294	.355	.508	.863
36	 Lindor, F	CLE	SS	36	154	28	45	11	0	10	22	13	33	5	2	.292	.355	.558	.913
37	 Bryant, K	CHC	3B	30	113	22	33	11	2	6	17	17	23	0	1	.292	.417	.584	1.001
37	 Franco, M	PHI	3B	31	113	16	33	5	1	7	28	7	16	0	0	.292	.325	.540	.865
39	 Moustakas, M	KC	3B	36	144	23	42	8	1	10	28	7	21	1	0	.292	.325	.569	.894
40	 Gregorius, D	NYY	SS	35	127	27	37	10	1	10	30	20	21	2	1	.291	.382	.622	1.004
40	 Ramirez, H	BOS	1B	32	127	21	37	7	0	4	21	12	25	3	1	.291	.357	.441	.798
40	 Rosario, E	MIN	LF	32	127	23	37	10	1	7	25	4	24	4	0	.291	.313	.551	.864
43	 Kendrick, H	WSH	2B	35	134	15	39	12	0	4	11	5	28	1	1	.291	.324	.470	.794
44	 Segura, J	SEA	SS	35	148	24	43	11	1	2	25	6	25	5	1	.291	.314	.419	.733
45	 Marte, S	PIT	CF	37	145	26	42	3	4	5	17	15	33	9	3	.290	.354	.469	.823
46	 Swanson, D	ATL	SS	28	114	13	33	8	1	2	13	7	32	2	1	.289	.336	.430	.766
47	 LeMahieu, D	COL	2B	28	111	17	32	8	0	5	13	13	15	3	1	.288	.363	.495	.858
48	 Peralta, D	ARI	LF	31	118	18	34	7	0	6	19	16	32	1	0	.288	.380	.500	.880
49	 Gennett, S	CIN	2B	36	132	15	38	9	0	4	18	9	28	1	0	.288	.333	.447	.780
50	 Martinez, J	STL	1B	32	122	12	35	9	0	4	19	14	17	0	1	.287	.362	.459	.821
